iter	Passed	Remaining
399	77811	141228
400	78075	141159
401	78372	141148
402	78641	141085
403	78920	141040
404	79254	141092
405	79526	141031
406	79807	140987
407	80081	140928
408	80345	140850
409	80633	140813
410	80903	140744
411	81167	140663
412	81528	140749
413	81805	140689
414	82079	140622
415	82360	140567
416	82621	140475
417	82881	140383
418	83153	140308
419	83436	140252
420	83751	140249
421	84034	140190
422	84307	140113
423	84579	140034
424	84855	139961
425	85163	139940
426	85429	139847
427	85696	139756
428	85964	139667
429	86313	139707
430	86581	139614
431	86875	139564
432	87131	139450
433	87401	139359
434	87679	139279
435	88030	139314
436	88346	139291
437	88666	139275
438	88933	139174
439	89501	139540
440	89967	139746
441	90379	139863
442	90678	139804
443	90994	139770
444	91270	139674
445	91600	139659
446	91981	139721
447	92248	139608
448	92537	139527
449	92810	139422
450	93021	139222
451	93167	138927
452	93436	138813
453	93694	138684
454	93955	138558
455	94217	138433
456	94489	138323
457	94698	138119
458	94891	137893
459	95175	137798
460	95491	137747
461	95786	137667
462	96206	137764
463	96552	137753
464	96861	137689
465	97202	137668
466	97556	137666
467	97798	137503
468	98072	137385
469	98351	137273
470	98609	137132
471	98902	137038
472	99153	136886
473	99499	136864
474	99823	136810
475	100066	136645
476	100347	136531
477	100628	136417
478	100884	136267
479	101178	136169
480	101457	136050
481	101764	135968
482	101997	135785
483	102472	135923
484	102709	135745
485	102940	135559
486	103201	135411
487	103607	135453
488	103951	135413
489	104281	135353
490	104597	135274
491	104802	135049
492	105173	135040
493	105422	134872
494	105701	134743
495	105937	134557
496	106183	134385
497	106423	134204
498	106707	134079
499	106920	133864
500	107092	133598
501	107250	133315
502	107402	133025
503	107555	132737
504	107694	132432
505	107866	132169
506	108056	131927
507	108267	131710
508	108525	131553
509	108809	131425
510	109110	131317
511	109383	131174
512	109659	131036
513	109978	130947
514	110217	130762
515	110462	130585
516	110728	130432
517	110980	130262
518	111261	130126
519	111512	129955
520	111717	129730
521	111914	129494
522	112174	129332
523	112443	129180
524	112650	128958
525	112932	128819
526	113118	128573
527	113266	128282
528	113432	128013
529	113573	127716
530	113832	127552
531	114038	127328
532	114252	127113
533	114432	126861
534	114621	126619
535	114879	126452
536	115134	126283
537	115357	126078
538	115608	125904
539	115914	125788
540	116149	125595
541	116431	125454
542	116676	125270
543	116912	125079
544	117155	124894
545	117406	124717
546	117605	124485
547	117840	124291
548	118212	124241
549	118576	124181
550	118868	124045
551	119189	123940
552	119557	123881
553	119853	123747
554	120113	123576
555	120408	123439
556	120684	123284
557	120968	123136
558	121206	122940
559	121443	122744
560	121702	122569
561	121971	122406
562	122260	122260
563	122564	122130
564	122903	122033
565	123231	121924
566	123517	121775
567	123805	121626
568	124163	121545
569	124440	121383
570	124727	121232
571	125154	121216
572	125485	121105
573	125769	120949
574	125974	120715
575	126290	120589
576	126541	120401
577	126809	120227
578	127177	120148
579	127552	120075
580	127932	120005
581	128127	119762
582	128403	119593
583	128726	119468
584	128968	119268
585	129195	119053
586	129494	118905
587	129815	118776
588	130137	118648
589	130428	118490
590	130732	118344
591	131043	118204
592	131334	118045
593	131657	117915
594	131947	117755
595	132251	117605
596	132472	117383
597	132775	117233
598	133002	117015
599	133398	116945
600	133607	116712
601	133785	116451
602	134063	116277
603	134320	116084
604	134644	115949
605	134893	115750
606	135181	115583
607	135459	115408
608	135736	115231
609	135982	115027
610	136254	114846
611	136519	114658
612	136879	114550
613	137161	114375
614	137417	114179
615	137697	114002
616	137969	113818
617	138247	113640
618	138519	113456
619	138858	113326
620	139197	113196
621	139423	112973
622	139631	112736
623	139929	112571
624	140213	112395
625	140487	112210
626	140791	112049
627	141096	111888
628	141374	111706
629	141670	111537
630	141899	111316
631	142138	111101
632	142423	110923
633	142705	110742
634	142961	110541
635	143244	110361
636	143550	110197
637	143959	110113
638	144248	109935
639	144523	109747
640	144807	109565
641	145138	109418
642	145411	109228
643	145680	109034
644	145967	108853
645	146284	108694
646	146563	108506
647	146846	108322
648	147125	108134
649	147409	107949
650	147684	107757
651	147958	107564
652	148253	107387
653	148641	107276
654	148906	107076
655	149208	106902
656	149470	106699
657	149742	106504
658	150021	106312
659	150300	106121
660	150577	105928
661	150895	105763
662	151160	105561
663	151433	105365
664	151766	105209
665	152098	105053
666	152399	104874
667	152809	104770
668	153024	104532
669	153230	104288
670	153413	104028
671	153641	103799
672	153841	103551
673	154041	103303
674	154217	103040
675	154424	102797
676	154650	102567
677	154930	102372
678	155074	102088
679	155257	101830
680	155503	101614
681	155643	101328
682	155836	101076
683	156025	100823
684	156280	100612
685	156453	100349
686	156673	100115
687	156885	99877
688	157017	99589
689	157193	99327
690	157377	99072
691	157552	98811
692	157749	98565
693	157972	98334
694	158127	98062
695	158310	97806
696	158447	97523
697	158616	97260
698	158768	96987
699	158939	96725
700	159099	96458
701	159293	96211
702	159429	95929
703	159616	95679
704	159790	95421
705	159963	95162
706	160206	94945
707	160371	94682
708	160566	94437
709	160770	94197
710	160963	93951
711	161100	93673
712	161210	93380
713	161362	93111
714	161524	92848
715	161703	92595
716	161921	92365
717	162098	92111
718	162277	91859
719	162462	91610
720	162625	91349
721	162807	91100
