iter	RMSE
0	0.1058265517
1	0.1029190774
2	0.1000454362
3	0.0972149052
4	0.09447168203
5	0.09181816157
6	0.0892831322
7	0.08683699141
8	0.08440004943
9	0.08204487043
10	0.07978344424
11	0.0776151236
12	0.07549708406
13	0.07341761165
14	0.07138872511
15	0.06944585727
16	0.06755983383
17	0.0657237777
18	0.0639103319
19	0.06217836047
20	0.06050624152
21	0.05884661605
22	0.05725342097
23	0.05571500181
24	0.05427094486
25	0.05280367936
26	0.05140863742
27	0.0500641702
28	0.04872862499
29	0.04747998495
30	0.04623175925
31	0.04501192633
32	0.04385810137
33	0.04272419542
34	0.04162245439
35	0.0405839008
36	0.03954384494
37	0.03853985134
38	0.03757368758
39	0.03662487168
40	0.03571139489
41	0.03480131928
42	0.03394910094
43	0.03313010585
44	0.03230412928
45	0.03153204855
46	0.03079649814
47	0.03007108028
48	0.02936261608
49	0.02867050054
50	0.02800811561
51	0.02735343547
52	0.02674300853
53	0.02612739112
54	0.02554938243
55	0.02499133891
56	0.02443422996
57	0.02389949868
58	0.02337970004
59	0.02288102467
60	0.02239148144
61	0.02190752124
62	0.02145078303
63	0.02101010505
64	0.02058463499
65	0.02017575919
66	0.01977775434
67	0.01940796159
68	0.0190330632
69	0.01866103441
70	0.01832005089
71	0.01798700504
72	0.01765765219
73	0.0173526326
74	0.01706180489
75	0.01677283289
76	0.01650102301
77	0.01623591024
78	0.01598063096
79	0.01573474042
80	0.0154921175
81	0.01525616337
82	0.0150280333
83	0.01482219573
84	0.0146233409
85	0.01443168147
86	0.01424606789
87	0.01405837389
88	0.0138882604
89	0.01373165014
90	0.01357864827
91	0.01343387948
92	0.01328283199
93	0.01314060169
94	0.01300488927
95	0.01288228597
96	0.01275794762
97	0.012649128
98	0.0125262646
99	0.01241503815
100	0.01230401624
101	0.01220439408
102	0.01210292785
103	0.01200410134
104	0.01191450634
105	0.01182947556
106	0.01173651528
107	0.01165139792
108	0.01157273714
109	0.01149754461
110	0.01141874917
111	0.01133593268
112	0.01126796189
113	0.01121151674
114	0.01114750434
115	0.01108383649
116	0.01102289959
117	0.01096107625
118	0.01089892351
119	0.01084858933
120	0.01079252679
121	0.01074142353
122	0.01069318311
123	0.01065268626
124	0.0106031018
125	0.01056690112
126	0.01052882334
127	0.01049115848
128	0.01045454039
129	0.01041327414
130	0.01037633199
131	0.01034214644
132	0.01030045768
133	0.01026601512
134	0.01023534178
135	0.01019924167
136	0.0101639565
137	0.01012966718
138	0.01009959288
139	0.01006854071
140	0.01004390371
141	0.0100169863
142	0.009988305848
143	0.009962992928
144	0.009932708251
145	0.009909186854
146	0.009881617643
147	0.009858494132
148	0.00983411868
149	0.009811894417
150	0.009790258416
151	0.009773536674
152	0.009745376602
153	0.009718683319
154	0.009696747925
155	0.009678826847
156	0.009660154741
157	0.009641024947
158	0.009617001504
159	0.009595492509
160	0.009577397309
161	0.009559656568
162	0.009542093175
163	0.009521068177
164	0.009506522166
165	0.009490257767
166	0.009474630118
167	0.009460415612
168	0.009443776934
169	0.009423163562
170	0.009400415524
171	0.009388787655
172	0.009371055296
173	0.009355232081
174	0.009335330307
175	0.009318484673
176	0.009305211482
177	0.009292011551
178	0.009275640503
179	0.009256834295
180	0.009245434158
181	0.009232695293
182	0.009221076548
183	0.009205188899
184	0.009190489505
185	0.009179509721
186	0.009163462014
187	0.009150636721
188	0.009138429989
189	0.009127222481
190	0.00911605647
191	0.009102747554
192	0.009092472345
